FileName,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSDOP,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPS_Lat_Deg,GPS_Lat_Min,GPS_Lat_Sec,latitude,GPS_Lon_Deg,GPS_Lon_Min,GPS_Lon_Sec,longitude
20190323_185009_SW.MOV,5.915 m,Above Sea Level,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W, 5.915 m Above Sea Level",,,,,,,,,"33 deg 32' 29.40"" N",,"117 deg 46' 57.36"" W",,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W",33,32,29.4,33.5415,117,46,57.36,-116.2174
20190323_185038_SW.JPG,5.7 m Above Sea Level,Above Sea Level,,2019:03:24,2019:03:24 01:50:38Z,247.1017608,True North,,8.001208277 m,67.10176085,True North,"33 deg 32' 29.32"" N",North,"117 deg 46' 57.50"" W",West,"33 deg 32' 29.32"" N, 117 deg 46' 57.50"" W",33,32,29.32,33.54147778,117,46,57.5,-116.2173611
20190323_185038_SW.MOV,5.793 m,Above Sea Level,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W, 5.793 m Above Sea Level",,,,,,,,,"33 deg 32' 29.40"" N",,"117 deg 46' 57.36"" W",,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W",33,32,29.4,33.5415,117,46,57.36,-116.2174
20190323_185939_SW.JPG,8.7 m Above Sea Level,Above Sea Level,,2019:03:24,2019:03:24 01:59:39Z,248.5084685,True North,,32 m,248.5084685,True North,"33 deg 32' 29.41"" N",North,"117 deg 46' 57.33"" W",West,"33 deg 32' 29.41"" N, 117 deg 46' 57.33"" W",33,32,29.41,33.54150278,117,46,57.33,-116.2174083
20190323_185939_SW.MOV,8.711 m,Above Sea Level,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W, 8.711 m Above Sea Level",,,,,,,,,"33 deg 32' 29.40"" N",,"117 deg 46' 57.36"" W",,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W",33,32,29.4,33.5415,117,46,57.36,-116.2174
20190323_185952_ADMIN_Mar-26-221223-2019_Conflict_SW.jpg,6.034027574 m,,,1970:01:01,1970:01:01 00:00:00Z,,,1,,,,"33 deg 32' 29.33"" N",North,"117 deg 46' 57.28"" W",West,"33 deg 32' 29.33"" N, 117 deg 46' 57.28"" W",33,32,29.33,33.54148056,117,46,57.28,-116.2174222
20190323_185952_SW.JPG,6 m Above Sea Level,Above Sea Level,,2019:03:24,2019:03:24 01:59:52Z,235.787262,True North,,12.00181242 m,55.78726198,True North,"33 deg 32' 29.33"" N",North,"117 deg 46' 57.28"" W",West,"33 deg 32' 29.33"" N, 117 deg 46' 57.28"" W",33,32,29.33,33.54148056,117,46,57.28,-116.2174222
20190323_185952_SW.MOV,6.034 m,Above Sea Level,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W, 6.034 m Above Sea Level",,,,,,,,,"33 deg 32' 29.40"" N",,"117 deg 46' 57.36"" W",,"33 deg 32' 29.40"" N, 117 deg 46' 57.36"" W",33,32,29.4,33.5415,117,46,57.36,-116.2174
20190323_193306_MVIMG_JW.jpg,14.8 m Below Sea Level,Below Sea Level,,2019:03:24,2019:03:24 02:32:57Z,,,7.936,,,,"33 deg 32' 26.02"" N",North,"117 deg 46' 54.28"" W",West,"33 deg 32' 26.02"" N, 117 deg 46' 54.28"" W",33,32,26.02,33.54056111,117,46,54.28,-116.2182556
20190323_204432_IMG_JW.jpg,20.6 m Below Sea Level,Below Sea Level,,2019:03:24,2019:03:24 03:44:23Z,,,68.025,,,,"33 deg 32' 26.73"" N",North,"117 deg 46' 55.17"" W",West,"33 deg 32' 26.73"" N, 117 deg 46' 55.17"" W",33,32,26.73,33.54075833,117,46,55.17,-116.2180083
20190324_091228_SW.JPG,207.8 m Above Sea Level,Above Sea Level,,2019:03:24,2019:03:24 16:12:26Z,112.9085999,True North,,65 m,112.9085999,True North,"33 deg 36' 10.43"" N",North,"117 deg 49' 37.27"" W",West,"33 deg 36' 10.43"" N, 117 deg 49' 37.27"" W",33,36,10.43,33.60289722,117,49,37.27,-116.1729806
20190324_091228_SW.MOV,207.868 m,Above Sea Level,"33 deg 36' 10.44"" N, 117 deg 49' 37.20"" W, 207.868 m Above Sea Level",,,,,,,,,"33 deg 36' 10.44"" N",,"117 deg 49' 37.20"" W",,"33 deg 36' 10.44"" N, 117 deg 49' 37.20"" W",33,36,10.44,33.6029,117,49,37.2,-116.173
